title,pubDate,description,link
Pic: Sara Ali Khan’s resemblance with Amrita,"Thu, 22 Jun 2017 05:15:41 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pic-Sara-Ali-Khan-looks-like-a-spitting-image-of-her-mum-Amrita-Singh/photostory/59264245.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59264317.cms"" /></a>",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pic-Sara-Ali-Khan-looks-like-a-spitting-image-of-her-mum-Amrita-Singh/photostory/59264245.cms
"Arjun Kapoor goes in flashback mode, shares '90s childhood click","Thu, 22 Jun 2017 03:41:33 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Arjun-Kapoor-goes-in-flashback-mode-shares-90s-childhood-click/photostory/59263222.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59263239.cms"" /></a>If not sharing pictures of himself living it up with his B-town besties, Arjun often shares adorable yellowed pictures from his cherished childhood years.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Arjun-Kapoor-goes-in-flashback-mode-shares-90s-childhood-click/photostory/59263222.cms
WATCH: 'Mubarakan' title track,"Thu, 22 Jun 2017 11:57:07 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/music/news/mubarakan-first-song-arjun-kapoor-is-set-to-get-you-grooving-in-the-films-title-track/articleshow/59270873.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59270873.cms"" /></a>Two days after the release of the highly-anticipated trailer of Arjun Kapoor's next 'Mubarakan', the makers dropped the title track on social media today evening.",http://timesofindia.indiatimes.com/entertainment/hindi/music/news/mubarakan-first-song-arjun-kapoor-is-set-to-get-you-grooving-in-the-films-title-track/articleshow/59270873.cms
Sridevi would prefer to see Jhanvi married?,"Thu, 22 Jun 2017 05:14:43 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Sridevi-would-prefer-to-see-daughter-Jhanvi-Kapoor-married-rather-than-in-the-film-industry/photostory/59264283.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59264297.cms"" /></a>Superstar Sridevi entered films at a tender age of four and has now completed 50 years in cinema with 300 films to her credit.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Sridevi-would-prefer-to-see-daughter-Jhanvi-Kapoor-married-rather-than-in-the-film-industry/photostory/59264283.cms
TV actress Mouni Roy to debut with Akshay's 'Gold',"Thu, 22 Jun 2017 07:38:41 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/TV-actress-Mouni-Roy-gets-her-big-Bollywood-break-in-Akshay-Kumars-Gold/photostory/59266734.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59266764.cms"" /></a>Television actress Mouni Roy, who is well-known for her part in the popular show 'Naagin', is now ready for her big screen debut. Mouni, who had previously made a cameo in Anubhav Sinha's 'Tum Bin 2', is all set to play an important role in the Akshay Kumar starrer 'Gold', which is being directed by Reema Kagti.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/TV-actress-Mouni-Roy-gets-her-big-Bollywood-break-in-Akshay-Kumars-Gold/photostory/59266734.cms
Salman-Arbaaz start working on ‘Dabanng 3’?,"Thu, 22 Jun 2017 10:03:52 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Salman-Khan-and-Arbaaz-Khan-start-working-on-Dabanng-3/photostory/59268928.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59269004.cms"" /></a>",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Salman-Khan-and-Arbaaz-Khan-start-working-on-Dabanng-3/photostory/59268928.cms
John Abraham launches first poster of 'Parmanu: The story of Pokhran',"Thu, 22 Jun 2017 04:43:08 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/John-Abraham-launches-impressive-first-poster-of-Parmanu-The-story-of-Pokhran/photostory/59264370.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59264422.cms"" /></a>John Abraham has unveiled the first poster for his next film titled ' Parmanu: The story of Pokhran'.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/John-Abraham-launches-impressive-first-poster-of-Parmanu-The-story-of-Pokhran/photostory/59264370.cms
Shah Rukh Khan’s rendezvous with Sejals in Ahmedabad,"Thu, 22 Jun 2017 03:20:30 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Shah-Rukh-Khans-rendezvous-with-Sejals-in-Ahmedabad/photostory/59263011.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59263036.cms"" /></a>It was a ‘Sejalicious’ Wednesday for Shah Rukh Khan in Ahmedabad, which will now be known as the city with the most number of girls named Sejal.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Shah-Rukh-Khans-rendezvous-with-Sejals-in-Ahmedabad/photostory/59263011.cms
"Don't endorse GST, Congress urges Amitabh Bachchan","Thu, 22 Jun 2017 04:20:16 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/dont-endorse-gst-congress-urges-amitabh-bachchan/articleshow/59263632.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59263632.cms"" /></a>The Congress' Mumbai unit on Wednesday asked megastar Amitabh Bachchan to refrain from acting as the Brand Ambassador for the upcoming Goods & Services Tax (GST) being rolled out from July 1.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/dont-endorse-gst-congress-urges-amitabh-bachchan/articleshow/59263632.cms
Pic: Sunny Leone and her cute happy family,"Thu, 22 Jun 2017 03:45:35 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pic-Sunny-Leone-and-hubby-Daniel-Weber-enjoy-some-quality-time-with-Bella/photostory/59263260.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59263264.cms"" /></a>",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pic-Sunny-Leone-and-hubby-Daniel-Weber-enjoy-some-quality-time-with-Bella/photostory/59263260.cms
