title,pubDate,link
"b'We just want to make the best android flagship: Pete Lau, Co-founder, OnePlus'","b'Fri, 23 Jun 2017 18:53:10 GMT'",b'http://economictimes.indiatimes.com/tech/hardware/we-just-want-to-make-the-best-android-flagship-pete-lau-co-founder-oneplus/articleshow/59292499.cms'
"b""Government, TRAI discuss policy; IMG brainstorms on telcos' demands""","b'Fri, 23 Jun 2017 16:49:12 GMT'",b'http://economictimes.indiatimes.com/news/economy/policy/government-trai-discuss-policy-img-brainstorms-on-telcos-demands/articleshow/59290590.cms'
b'Infosys to pay $1 million to settle case of visa violations in New York',"b'Fri, 23 Jun 2017 17:46:47 GMT'",b'http://economictimes.indiatimes.com/tech/ites/infosys-to-pay-1-million-to-settle-case-of-visa-violations-in-new-york/articleshow/59290650.cms'
"b""100 killed as oil tanker exploded in Pakistan's Bahwalpur""","b'Sun, 25 Jun 2017 06:01:27 GMT'",b'http://economictimes.indiatimes.com/news/international/world-news/123-killed-as-oil-tanker-exploded-in-pakistans-bahwalpur/articleshow/59306772.cms'
"b'15 killed, 120 missing as landslide buries mountain village in China'","b'Sat, 24 Jun 2017 02:52:54 GMT'",b'http://economictimes.indiatimes.com/news/international/world-news/around-100-people-feared-buried-in-china-landslide-authorities/articleshow/59294775.cms'
"b""Qatar says Saudi-led demands not 'reasonable'""","b'Sat, 24 Jun 2017 11:53:22 GMT'",b'http://economictimes.indiatimes.com/news/international/world-news/qatar-says-saudi-led-demands-not-reasonable/articleshow/59299502.cms'
b'Oil group Rosneft to continue dispute with Sistema in court',"b'Sat, 24 Jun 2017 09:20:59 GMT'",b'http://economictimes.indiatimes.com/news/international/oil-group-rosneft-to-continue-dispute-with-sistema-in-court/articleshow/59298004.cms'
b'BRICS countries reaffirm commitment to implement Paris deal',"b'Sat, 24 Jun 2017 05:19:13 GMT'",b'http://economictimes.indiatimes.com/news/international/world-news/brics-countries-reaffirm-commitment-to-implement-paris-deal/articleshow/59295839.cms'
b'The new Saudi Arabian heir is a dangerous man',"b'Sat, 24 Jun 2017 04:58:42 GMT'",b'http://economictimes.indiatimes.com/news/international/world-news/the-new-saudi-arabian-heir-is-a-dangerous-man/articleshow/59295635.cms'
"b'Aadhaar not valid for travel to Nepal, Bhutan: Home ministry'","b'Sun, 25 Jun 2017 06:27:28 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/aadhaar-not-valid-for-travel-to-nepal-bhutan-home-ministry/articleshow/59307488.cms'
