title,pubDate,description,link
Arvind Panagariya makes presentation to PMO for reliable jobs data,"Fri, 23 Jun 2017 11:17:19 GMT","Yesterday, Panagariya had said the task force on employment data was likely to recommend a complete revamp of the country's data collection system.",http://economictimes.indiatimes.com/news/economy/policy/arvind-panagariya-makes-presentation-to-pmo-for-reliable-jobs-data/articleshow/59286318.cms
"Government, TRAI discuss policy; IMG brainstorms on telcos' demands","Fri, 23 Jun 2017 16:49:12 GMT","According to sources, the high-level meeting was held to discuss regulatory and policy issues in the sector and expedite the Bharat Net project.",http://economictimes.indiatimes.com/news/economy/policy/government-trai-discuss-policy-img-brainstorms-on-telcos-demands/articleshow/59290590.cms
Infosys to pay $1 million to settle case of visa violations in New York,"Fri, 23 Jun 2017 17:46:47 GMT","The statement said that Infosys obtained B-1 visas, which are temporary visitor visas, instead of the H-1B work permit which was required.",http://economictimes.indiatimes.com/tech/ites/infosys-to-pay-1-million-to-settle-case-of-visa-violations-in-new-york/articleshow/59290650.cms
Infosys board to face investors' heat at AGM tomorrow,"Fri, 23 Jun 2017 12:44:37 GMT","The meet is important in light of the lower revenue outlook for this fiscal (2017-18), tech disruptions and slowdown in the IT industry.",http://economictimes.indiatimes.com/infosys-board-to-face-investors-heat-at-agm-tomorrow/articleshow/59287213.cms
"TCS says it hired over 12,500 people in United States in last 5 years","Fri, 23 Jun 2017 16:29:55 GMT","TCS said that over the past five years, the company has steadily increased its relationships and recruitment from more than 75 US college campuses.",http://economictimes.indiatimes.com/tech/ites/tcs-says-it-hired-over-12500-people-in-united-states-in-last-5-years/articleshow/59287163.cms
Infosys says investigation into whistleblower letter finds no wrongdoing,"Fri, 23 Jun 2017 11:26:44 GMT","Infosys had received two anonymous letters in February that alleged wrongdoing in some of its acquisitions, improper contracting and CEO compensation and expenditures.",http://economictimes.indiatimes.com/tech/ites/infosys-says-investigation-into-whistleblower-letter-finds-no-wrongdoing/articleshow/59286441.cms
Google Maps are not authenticated: Surveyor General of India Swarna Subba Rao,"Thu, 22 Jun 2017 17:56:48 GMT","""Such maps cannot be used for serious applications, adding that those created by the national agency are used for engineering purposes to lay roads and railway tracks.""",http://economictimes.indiatimes.com/tech/internet/google-maps-are-not-authenticated-surveyor-general-of-india-swarna-subba-rao/articleshow/59275611.cms
America’s biggest banks clear first hurdle in Fed’s stress tests,"Fri, 23 Jun 2017 17:38:26 GMT","The reviews have encouraged the 34 banks to add more than $750 billion in common equity capital since 2009, with a focus on safe and less profitable businesses.",http://economictimes.indiatimes.com/news/international/business/americas-biggest-banks-clear-first-hurdle-in-feds-stress-tests/articleshow/59291472.cms
Canada has an unusual drug problem: Shortage of marijuana,"Fri, 23 Jun 2017 17:26:00 GMT","Federal Finance Minister Bill Morneau has said he favours a tax rate that will starve out the black market, one of the government’s key objectives.",http://economictimes.indiatimes.com/news/international/world-news/canada-has-an-unusual-drug-problem-shortage-of-marijuana/articleshow/59291225.cms
"Angela Merkel says Theresa May's Brexit proposals ""not the breakthrough""","Fri, 23 Jun 2017 14:24:45 GMT",German Chancellor Angela Merkel  and French President Emmanuel Macron also made clear that they would not pursue changes to the EU's Lisbon Treaty unless reform of the bloc demanded it.,http://economictimes.indiatimes.com/news/international/world-news/angela-merkel-says-theresa-mays-brexit-proposals-not-the-breakthrough/articleshow/59288766.cms
Emmanuel Macron and Angela Merkel back tougher EU approach on trade,"Fri, 23 Jun 2017 14:22:24 GMT","At a joint news conference between the two leaders at the end of a two-day European Union summit, Macron said he favoured open markets but that Europe ""cannot be naive"".",http://economictimes.indiatimes.com/news/international/world-news/emmanuel-macron-and-angela-merkel-back-tougher-eu-approach-on-trade/articleshow/59288735.cms
