title,pubDate,link
b'ISRO-made system to alert users at unmanned level crossings ',"b'Sun, 25 Jun 2017 12:15:56 +0530'",b'http://www.thehindu.com/news/national/isro-made-system-to-alert-users-at-unmanned-level-crossings/article19144711.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication'
"b'With Facebook banned, Kashmir\xe2\x80\x99s youth reach out via Kashbook'","b'Sat, 24 Jun 2017 21:54:49 +0530'",b'http://www.thehindu.com/news/national/with-facebook-banned-kashmirs-youth-reach-out-via-kashbook/article19141768.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication'
b'Google to stop reading your Gmail to sell targeted ads',"b'Sat, 24 Jun 2017 14:16:21 +0530'",b'http://www.thehindu.com/sci-tech/technology/internet/google-to-stop-reading-your-gmail-to-sell-targeted-ads/article19140066.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication'
